order_date,region,category,quantity,sales,profit
2023-01-01,Central,Furniture,5,151.49,45.07
2023-01-01,South,Furniture,9,669.57,139.25
2023-01-01,Central,Furniture,3,246.32,43.15
2023-01-01,Central,Furniture,6,429.27,110.73
2023-01-01,West,Office Supplies,5,74.28,10.22
2023-01-02,East,Furniture,2,462.59,26.64
2023-01-02,East,Office Supplies,5,236.67,-21.1
2023-01-02,West,Office Supplies,4,142.44,45.76
2023-01-02,South,Office Supplies,5,203.12,42.93
2023-01-02,West,Furniture,3,63.94,6.54
2023-01-03,West,Technology,8,325.21,18.34
2023-01-03,South,Technology,6,105.23,32.85
2023-01-03,West,Furniture,1,22.87,4.49
2023-01-04,East,Furniture,9,202.75,32.09
2023-01-04,East,Technology,9,111.99,23.83
2023-01-05,East,Office Supplies,7,245.51,78.39
2023-01-05,West,Furniture,9,70.34,10.87
2023-01-05,West,Office Supplies,3,22.99,6.99
2023-01-05,Central,Office Supplies,7,253.33,-12.26
2023-01-05,Central,Furniture,5,628.56,-2.71
2023-01-06,South,Office Supplies,6,155.7,-15.56
2023-01-07,West,Technology,9,330.85,98.33
2023-01-07,West,Office Supplies,1,122.38,17.42
2023-01-07,Central,Technology,2,357.8,-20.9
2023-01-07,West,Technology,6,616.76,208.59
2023-01-07,West,Office Supplies,3,220.23,42.15
2023-01-08,East,Technology,8,344.82,73.46
2023-01-08,South,Technology,6,454.43,141.77
2023-01-08,West,Furniture,1,173.26,27.69
2023-01-09,Central,Office Supplies,6,48.3,9.34
2023-01-09,Central,Office Supplies,1,725.69,204.9
2023-01-09,Central,Office Supplies,1,147.2,49.42
2023-01-10,Central,Technology,7,323.25,74.38
2023-01-10,West,Furniture,8,210.01,37.02
2023-01-10,Central,Technology,3,103.27,0.84
2023-01-11,Central,Furniture,2,120.49,35.75
2023-01-11,West,Office Supplies,5,177.45,26.45
2023-01-11,East,Furniture,3,197.43,58.95
2023-01-11,East,Office Supplies,6,121.52,4.0
2023-01-12,Central,Office Supplies,6,321.01,-11.06
2023-01-12,West,Furniture,7,46.8,8.66
2023-01-12,Central,Office Supplies,1,408.88,118.22
2023-01-12,East,Office Supplies,7,116.39,-8.71
2023-01-12,Central,Office Supplies,1,229.03,-4.06
2023-01-13,West,Office Supplies,7,100.64,35.18
2023-01-14,West,Office Supplies,6,275.62,-9.47
