order_date,region,category,quantity,sales,profit
2025-01-01,East,Technology,5,149.16,41.77
2025-01-01,East,Office Supplies,8,385.84,117.64
2025-01-01,South,Technology,4,193.14,10.93
2025-01-01,West,Technology,2,364.86,-11.01
2025-01-02,West,Furniture,7,646.24,113.17
2025-01-02,South,Technology,6,273.64,0.75
2025-01-02,South,Technology,7,246.04,77.44
2025-01-02,South,Office Supplies,2,381.39,-17.7
2025-01-02,Central,Office Supplies,6,559.97,184.89
2025-01-02,East,Technology,3,214.6,51.32
2025-01-02,West,Office Supplies,9,340.32,15.94
2025-01-03,West,Furniture,5,81.02,21.39
2025-01-03,East,Technology,3,655.69,124.07
2025-01-03,South,Office Supplies,9,225.24,32.07
2025-01-03,South,Technology,2,125.45,0.27
2025-01-03,East,Technology,2,352.75,59.48
2025-01-04,West,Office Supplies,2,132.68,16.44
2025-01-04,East,Office Supplies,9,262.27,41.65
2025-01-04,South,Technology,4,438.88,20.54
2025-01-04,South,Technology,1,105.22,31.11
2025-01-05,West,Furniture,4,232.99,4.78
2025-01-05,West,Office Supplies,5,6.51,1.49
2025-01-05,West,Furniture,5,123.15,4.24
2025-01-05,South,Technology,2,116.56,15.45
2025-01-05,South,Furniture,8,416.54,64.0
2025-01-05,Central,Office Supplies,1,314.34,-15.08
2025-01-05,Central,Technology,2,117.25,-3.76
2025-01-06,East,Technology,1,490.16,120.58
2025-01-06,Central,Office Supplies,6,148.28,-2.97
2025-01-06,East,Furniture,5,41.09,12.64
2025-01-06,East,Office Supplies,1,286.2,75.71
2025-01-06,Central,Technology,3,730.69,196.58
2025-01-06,South,Office Supplies,2,233.19,4.76
2025-01-07,East,Furniture,5,50.84,9.45
2025-01-07,Central,Office Supplies,7,74.88,0.14
2025-01-07,South,Technology,9,228.26,48.32
2025-01-07,Central,Office Supplies,6,225.16,29.12
2025-01-08,Central,Technology,1,169.28,6.43
2025-01-08,Central,Furniture,3,100.25,13.33
2025-01-09,Central,Technology,8,165.34,44.6
2025-01-09,East,Furniture,8,233.1,74.55
2025-01-09,South,Furniture,4,277.95,-8.49
2025-01-09,East,Office Supplies,8,263.95,-4.64
2025-01-09,East,Furniture,4,205.67,63.44
2025-01-10,Central,Technology,5,337.26,127.19
2025-01-10,East,Furniture,9,220.63,2.76
2025-01-10,Central,Furniture,1,162.92,37.58
2025-01-11,West,Furniture,4,516.47,146.44
2025-01-11,East,Technology,8,323.41,67.53
2025-01-11,East,Technology,5,171.43,61.55
2025-01-11,Central,Technology,4,43.11,16.52
2025-01-11,East,Technology,4,348.77,5.65
2025-01-11,Central,Furniture,1,335.96,128.31
2025-01-12,West,Technology,4,254.91,3.61
2025-01-12,West,Office Supplies,6,491.78,28.83
2025-01-12,East,Office Supplies,2,185.55,-4.21
2025-01-12,Central,Office Supplies,8,322.59,100.83
2025-01-12,East,Office Supplies,2,163.67,26.56
2025-01-12,Central,Technology,3,154.39,21.67
2025-01-12,West,Furniture,2,64.1,9.95
2025-01-12,Central,Office Supplies,3,189.21,47.95
2025-01-12,East,Technology,8,475.26,160.49
2025-01-13,East,Technology,4,876.69,346.99
2025-01-13,West,Office Supplies,4,298.34,15.97
2025-01-13,South,Technology,7,690.09,91.66
2025-01-13,Central,Furniture,5,203.61,-1.38
2025-01-14,East,Furniture,2,430.01,45.68
2025-01-14,South,Office Supplies,9,141.12,13.98
2025-01-14,East,Furniture,1,199.43,33.15
2025-01-14,West,Furniture,4,56.63,12.15
2025-01-14,South,Technology,4,76.58,24.79
2025-01-15,South,Furniture,7,251.42,45.94
2025-01-15,East,Technology,1,382.21,1.36
